number,name,election_date,founding_date,dissolution_date
1,1st Parliament,29.3.1901,19010509,19031123
2,2nd Parliament,16.12.1903,19040302,19061105
3,3rd Parliament,12.12.1906,19070220,19100219
4,4th Parliament,13.4.1910,19100701,19130423
5,5th Parliament,31.5.1913,19130709,19140730
6,6th Parliament,5.9.1914,19141008,19170326
7,7th Parliament,5.5.1917,19170614,19191103
8,8th Parliament,13.12.1919,19200226,19221106
9,9th Parliament,16.12.1922,19230228,19251003
10,10th Parliament,14.11.1925,19260113,19281009
11,11th Parliament,17.11.1928,19290206,19290916
12,12th Parliament,12.10.1929,19291120,19311127
13,13th Parliament,19.12.1931,19320217,19340807
14,14th Parliament,15.9.1934,19341023,19370921
15,15th Parliament,23.10.1937,19371130,19400827
16,16th Parliament,21.9.1940,19401120,19430707
17,17th Parliament,21.8.1943,19430923,19460816
18,18th Parliament,28.9.1946,19461106,19491031
19,19th Parliament,10.12.1949,19500222,19510319
20,20th Parliament,28.4.1951,19510612,19540421
21,21st Parliament,29.5.1954,19540804,19551104
22,22nd Parliament,10.12.1955,19560215,19581014
23,23rd Parliament,22.11.1958,19590217,19611102
24,24th Parliament,9.12.1961,19620220,19631101
25,25th Parliament,30.11.1963,19640225,19661031
26,26th Parliament,26.11.1966,19670221,19690929
27,27th Parliament,25.10.1969,19691125,19721102
28,28th Parliament,2.12.1972,19730227,19740411
29,29th Parliament,18.5.1974,19740709,19751111
30,30th Parliament,13.12.1975,19760217,19771110
31,31st Parliament,10.12.1977,19780221,19800919
32,32nd Parliament,18.10.1980,19801125,19841026
33,33rd Parliament,5.3.1983,19830421,19841026
34,34th Parliament,1.12.1984,19850221,19870605
35,35th Parliament,11.7.1987,19870914,19900219
36,36th Parliament,24.3.1990,19900508,19930208
37,37th Parliament,13.3.1993,19930504,19960129
38,38th Parliament,2.3.1996,19960430,19980831
39,39th Parliament,3.10.1998,19981110,20011008
40,40th Parliament,10.11.2001,20020212,20040831
41,41st Parliament,9.10.2004,20041116,20071017
42,42nd Parliament,24.11.2007,20080212,20100719
43,43rd Parliament,21.8.2010,20100928,20130805
44,44th Parliament,7.9.2013,20131112,20160509
45,45th Parliament,2.7.2016,20160824,20190411
46,46th Parliament,18.5.2019,20190602,20230602